,AdaptorLong reward (mean),AdaptorLong reward (std),AdaptorLong prediction (mean),AdaptorLong prediction (std),Cautious QLearner reward (mean),Cautious QLearner reward (std),Cautious QLearner prediction (mean),Cautious QLearner prediction (std),Cooperator reward (mean),Cooperator reward (std),Cooperator prediction (mean),Cooperator prediction (std),Defector reward (mean),Defector reward (std),Defector prediction (mean),Defector prediction (std),Evolved ANN 5 Noise 05 reward (mean),Evolved ANN 5 Noise 05 reward (std),Evolved ANN 5 Noise 05 prediction (mean),Evolved ANN 5 Noise 05 prediction (std),Evolved ANN reward (mean),Evolved ANN reward (std),Evolved ANN prediction (mean),Evolved ANN prediction (std),Random reward (mean),Random reward (std),Random prediction (mean),Random prediction (std),Tit For Tat reward (mean),Tit For Tat reward (std),Tit For Tat prediction (mean),Tit For Tat prediction (std),Worse and Worse reward (mean),Worse and Worse reward (std),Worse and Worse prediction (mean),Worse and Worse prediction (std)
878,0.5563,0.615816783,0.811314752,0.734186674,3.4674,1.161351471,5.014615729,2.245164981,3.8388,0.98692176,5.90614333,1.994765496,0.5654,0.495704388,0.827099578,0.675102831,1.5438,1.658759042,2.332513917,2.651565221,0.4877,0.505023475,0.696527332,0.659443989,1.7156,1.668387437,2.030091827,1.725366221,2.7098,1.838527661,4.15645915,1.942751321,0.531,1.093361331,0.986042962,1.203405884
879,0.5644,0.632339023,0.81649931,0.749267655,3.4693,1.181210189,5.046766133,2.240112476,3.8438,0.987725448,5.929377816,1.96570955,0.5546,0.497009899,0.826625663,0.667103418,1.5506,1.672973293,2.343165241,2.655818892,0.4832,0.502113294,0.690540484,0.652639697,1.6965,1.669666958,2.060541449,1.739647729,2.6903,1.842982884,4.134345738,1.954088438,0.5621,1.118008761,0.995536739,1.200233161
880,0.5594,0.60089237,0.818351895,0.735678989,3.4593,1.157818427,5.01602629,2.271882534,3.8492,0.988564292,5.915473306,1.984780227,0.568,0.495354419,0.836568051,0.673770246,1.5647,1.693048703,2.343457219,2.681020552,0.481,0.502034859,0.685990778,0.655320918,1.7333,1.659569556,2.050623828,1.728884717,2.7202,1.847136151,4.157264124,1.948233785,0.5586,1.126483928,0.979576434,1.192663104
881,0.5577,0.627750516,0.81414907,0.734225521,3.471,1.166258548,5.040103844,2.242883439,3.825,0.984568433,5.917563627,1.943594988,0.5724,0.494730472,0.829354679,0.681322353,1.546,1.685373549,2.317908418,2.67345367,0.4742,0.501731362,0.684407016,0.655640813,1.7197,1.6517663,2.052359533,1.743424736,2.6665,1.84609798,4.119204898,1.960170101,0.5475,1.10324238,0.958506692,1.168169615
882,0.5649,0.62752529,0.812793875,0.734113328,3.4775,1.175794944,5.032499554,2.261830939,3.8422,0.987471093,5.913805388,1.983434524,0.5559,0.496865364,0.824093736,0.670557158,1.5526,1.665062533,2.338448268,2.643241451,0.4887,0.503658922,0.704758408,0.655106138,1.693,1.663415462,2.040991164,1.734126304,2.7121,1.829320527,4.181202351,1.934414564,0.5467,1.130052702,0.950004444,1.197330203
883,0.5502,0.60504542,0.799545553,0.73594336,3.4686,1.165166958,5.029252852,2.242272647,3.8472,0.988257133,5.916467445,1.98090259,0.5645,0.495822297,0.839822259,0.66536642,1.5379,1.670498007,2.3118758,2.667925877,0.4904,0.505082013,0.70524343,0.659734918,1.7121,1.653485286,2.077927989,1.739460031,2.7213,1.839300495,4.152135641,1.965171772,0.5479,1.100411555,0.965370636,1.195549952
884,0.5657,0.620067343,0.813694737,0.744292621,3.4746,1.157564184,5.018612501,2.256391481,3.821,0.983849074,5.87078998,2.018883859,0.5688,0.49524394,0.83901616,0.670565461,1.5549,1.678209162,2.325418192,2.660508548,0.4897,0.506452278,0.695216621,0.66305819,1.7287,1.662857874,2.058464254,1.743980719,2.7108,1.866752089,4.129973174,1.98165442,0.5558,1.113232393,0.943742526,1.178395059
885,0.5567,0.600653902,0.805196014,0.736132294,3.4649,1.163601302,5.025975313,2.252624798,3.8414,0.987342919,5.917492691,1.978140259,0.5709,0.494947664,0.835301031,0.673067479,1.5464,1.664405912,2.340756807,2.659901471,0.4836,0.502922499,0.692689842,0.658559086,1.6982,1.663705731,2.053735615,1.726113983,2.6647,1.861685771,4.111573216,1.968479724,0.5208,1.073856303,0.94856323,1.174511756
886,0.5539,0.625375719,0.808890809,0.720352371,3.4731,1.169476973,5.059765966,2.226326146,3.8492,0.988564292,5.944173283,1.95149653,0.5635,0.495951359,0.826110973,0.680997974,1.5489,1.682679051,2.321903491,2.6702941,0.4926,0.502339765,0.70126996,0.651102399,1.7172,1.659465022,2.043979583,1.727376561,2.7138,1.849402487,4.125013039,1.988372884,0.5226,1.078929673,0.923314942,1.160011427
887,0.5544,0.618902771,0.811326859,0.727204032,3.4657,1.162249332,4.999291114,2.27714693,3.8392,0.986987011,5.88777003,2.024849569,0.5636,0.495938545,0.825186443,0.677563695,1.5522,1.684718125,2.322808134,2.673657743,0.484,0.504919796,0.699426045,0.647285336,1.695,1.644559211,2.069580171,1.709593133,2.6961,1.848281578,4.150485919,1.944312319,0.5439,1.105112116,0.946470029,1.175061695
